scenario_P1,scenario_Qg1,scenario_Qg2,scenario_AC1_Nom_1,scenario_AC1_Nom_2,scenario_AC1_Nom_3,scenario_AC1_Nom_4,scenario_AC1_Nom_5,scenario_AC1_Nom_6,scenario_AC1_MinTol_1,scenario_AC1_MinTol_2,scenario_AC1_MinTol_3,scenario_AC1_MinTol_4,scenario_AC1_MinTol_5,scenario_AC1_MinTol_6,scenario_AC1_MaxTol_1,scenario_AC1_MaxTol_2,scenario_AC1_MaxTol_3,scenario_AC1_MaxTol_4,scenario_AC1_MaxTol_5,scenario_AC1_MaxTol_6,scenario_AC2_Nom_1,scenario_AC2_Nom_2,scenario_AC2_Nom_3,scenario_AC2_Nom_4,scenario_AC2_Nom_5,scenario_AC2_Nom_6,scenario_AC2_MinTol_1,scenario_AC2_MinTol_2,scenario_AC2_MinTol_3,scenario_AC2_MinTol_4,scenario_AC2_MinTol_5,scenario_AC2_MinTol_6,scenario_AC2_MaxTol_1,scenario_AC2_MaxTol_2,scenario_AC2_MaxTol_3,scenario_AC2_MaxTol_4,scenario_AC2_MaxTol_5,scenario_AC2_MaxTol_6,scenario_DC_Nom_1,scenario_DC_Nom_2,scenario_DC_MinTol_1,scenario_DC_MinTol_2,scenario_DC_MaxTol_1,scenario_DC_MaxTol_2,solution_N_vw1,solution_N_vw2,solution_Qcab1_interm,solution_Qcab2_interm,solution_Qf1_interm,solution_Qf2,solution_Rdc,solution_Vac1,solution_Vac2,solution_Vdc1,solution_Xtr1_pu,solution_Xtr2_pu,solution_ucab1,solution_ucab2,solution_uf1,solution_uf2,solution_w1,solution_w2
977000000,646000000,566000000,407000,314.159265358979,27000000,60000000,426000,0.16,-4,-1,-4,-4,-5,-1,3,5,2,5,2,5,387000,314.159265358979,30000000,55000000,421000,0.15,-1,-3,-3,-5,-1,-5,4,1,2,5,5,5,10,559000,-4,-3,1,2,415800,425700,18466464.4320288,21608219.2496815,52077659.1802363,49132064.5801783,0.8,360000,360000.883992436,318400,0.1425,0.1425,1,1,1,1,298.45130209103,358.176178749945
1119000000,526000000,692000000,386000,314.159265358979,30000000,48000000,437000,0.16,-1,-3,-2,-3,-5,-4,3,3,3,3,2,5,403000,314.159265358979,17000000,57000000,436000,0.14,-2,-3,-1,-5,-1,-4,2,1,2,2,2,3,8,533000,-4,-1,3,2,415800,425700,19869214.6409093,21086653.6672585,9709.36573842013,51627573.7371454,1.16706653734363,360000,360000,318400.041867834,0.143125210263869,0.142521723116644,1,1,1,1,325.708584571162,390.171273870189
1037000000,676000000,566000000,396000,314.159265358979,19000000,59000000,447000,0.13,-1,-1,-3,-4,-2,-4,5,4,2,2,5,1,408000,314.159265358979,30000000,49000000,439000,0.12,-5,-3,-1,-3,-3,-5,3,4,1,2,5,5,14,569000,-5,-5,3,1,415800,425700,22355915.8907248,22941984.0699396,50305539.0257441,50175912.2164319,0.8,394881.753624272,360127.031051008,318400,0.1425,0.1425,1,1,1,1,321.022755903873,362.907588038874
847000000,504000000,546000000,380000,314.159265358979,22000000,60000000,448000,0.16,-5,-3,-2,-5,-2,-3,5,4,5,1,1,3,385000,314.159265358979,22000000,40000000,429000,0.16,-5,-1,-5,-5,-3,-1,2,5,4,4,2,5,10,517000,-2,-5,5,3,415800,425700,23126351.9163988,16837856.0323294,52043930.8272745,48290352.3274703,0.800014947682189,360000,360000,318400,0.142532506860256,0.142505059969596,1,1,1,1,298.451302091029,358.272980639637
983000000,580000000,577000000,415000,314.159265358979,22000000,55000000,440000,0.15,-3,-1,-1,-2,-1,-2,2,3,1,5,2,4,408000,314.159265358979,14000000,48000000,434000,0.13,-3,-3,-2,-4,-5,-4,5,4,1,3,4,1,8,545000,-2,-2,2,2,415800,425700,21619541.8152081,19896234.3834241,49820888.3172474,51743383.8693731,0.8,360000,360000,318400,0.142694956823785,0.142519375368093,1,1,1,1,298.45130209103,363.663108146054
1106000000,629000000,571000000,416000,314.159265358979,22000000,57000000,439000,0.18,-2,-3,-3,-4,-3,-2,1,5,1,4,5,1,382000,314.159265358979,21000000,56000000,448000,0.12,-4,-1,-2,-5,-1,-5,4,3,3,3,4,1,11,541000,-3,-3,4,1,415800,425700,23714934.8491426,19415229.3679324,51609316.6253656,47513815.7618457,0.800005617904925,360000,360000,318400,0.14251232472763,0.142500069277473,1,1,1,1,298.832001842433,358.634180621862
892000000,622000000,512000000,394000,314.159265358979,23000000,59000000,426000,0.17,-1,-5,-3,-5,-1,-4,5,4,1,4,3,4,403000,314.159265358979,30000000,51000000,425000,0.14,-4,-2,-3,-1,-4,-4,3,5,1,5,3,5,13,579000,-3,-3,4,2,415800,425700,23110127.5037575,16833570.2072084,51302793.2393242,48362317.3761845,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.512653783771,358.676496399906
1163000000,648000000,549000000,409000,314.159265358979,12000000,50000000,433000,0.15,-1,-2,-1,-5,-2,-3,2,4,2,4,3,5,399000,314.159265358979,28000000,58000000,447000,0.16,-2,-4,-3,-1,-5,-4,5,5,4,2,5,5,10,509000,-3,-2,5,2,415800,425700,18087841.9715483,19660086.1009958,52039428.8922422,49363306.6709438,0.8,363757.213367211,367801.505907524,318400,0.1425,0.1425,1,1,1,1,303.725706068445,358.141562509236
921000000,643000000,514000000,408000,314.159265358979,19000000,52000000,428000,0.16,-3,-5,-5,-1,-4,-1,2,5,2,2,2,4,411000,314.159265358979,17000000,54000000,446000,0.16,-5,-1,-3,-3,-5,-2,1,1,2,3,3,4,8,525000,-5,-4,4,4,415800,425700,18982571.7868589,16779955.4018229,48987666.1186962,48061999.2033125,0.8,374388.440893932,381513.63376817,318400,0.142613273710673,0.142502542194182,1,1,1,1,298.583492100094,358.959907065912
906000000,681000000,547000000,406000,314.159265358979,15000000,42000000,443000,0.12,-1,-1,-2,-5,-1,-2,4,4,4,4,5,2,401000,314.159265358979,10000000,46000000,434000,0.18,-5,-2,-3,-1,-5,-4,5,1,5,4,2,4,5,588000,-3,-2,2,1,415800,425700,20882790.3508903,16214322.9772784,50527195.4576714,47901623.908899,0.80000000078061,360000,360000,318400,0.142549323219141,0.14251281477562,1,1,1,1,299.070087254524,358.279655457106
1078000000,671000000,561000000,390000,314.159265358979,21000000,55000000,414000,0.17,-1,-1,-4,-4,-2,-1,3,1,3,2,1,2,402000,314.159265358979,21000000,54000000,446000,0.15,-1,-4,-3,-4,-4,-2,5,4,5,3,3,2,9,523000,-2,-2,5,2,415800,425700,17080337.0196375,19561296.6934822,50443083.7771574,47548151.8508085,0.8,360000,360000,318400,0.1425,0.142565502918557,1,1,1,1,298.45130209103,359.73434459793
1062000000,674000000,660000000,390000,314.159265358979,20000000,47000000,436000,0.18,-1,-2,-4,-1,-1,-4,2,4,2,5,3,4,381000,314.159265358979,19000000,44000000,431000,0.14,-2,-2,-5,-5,-5,-2,2,4,5,4,1,2,11,518000,-4,-2,4,2,415800,425700,22056448.0061383,18371556.6830212,51183602.315591,47503333.2013412,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.45130209103,358.141562509236
1129000000,508000000,552000000,413000,314.159265358979,28000000,48000000,450000,0.16,-2,-5,-1,-3,-4,-1,3,4,3,3,4,3,408000,314.159265358979,15000000,54000000,439000,0.18,-1,-3,-2,-3,-1,-5,1,5,4,3,4,4,10,557000,-2,-1,3,2,415800,425700,19125374.1268046,22307198.5707226,48285485.2799567,16287.3631550826,0.861641350228787,360000,360000,318400,0.142700088988033,0.146799140174662,1,1,1,1,326.660080129676,380.961538636038
1106000000,658000000,531000000,417000,314.159265358979,22000000,58000000,429000,0.14,-5,-2,-2,-5,-1,-4,3,2,2,1,4,3,415000,314.159265358979,11000000,44000000,435000,0.14,-2,-5,-5,-2,-4,-4,5,5,5,4,3,2,6,502000,-2,-2,1,2,415800,425700,23214082.9258675,16130139.57066,52071559.5357843,47953667.3744319,0.800013940869381,360000,360222.726027154,318400,0.142612805240176,0.142544242812128,1,1,1,1,298.912360001827,358.186940996211
1144000000,570000000,594000000,405000,314.159265358979,12000000,58000000,423000,0.14,-5,-3,-5,-4,-5,-5,2,2,3,1,2,1,390000,314.159265358979,30000000,43000000,440000,0.18,-4,-1,-1,-1,-2,-5,3,2,5,5,4,3,14,500000,-3,-5,3,1,415800,425700.065625659,21827745.3134556,17757394.7434503,51519868.7231371,48872444.3916971,0.800009070837427,360000,360991.783817221,318400,0.1425,0.1425,1,1,1,1,298.706462259299,358.141562509236
1031000000,605000000,538000000,399000,314.159265358979,22000000,42000000,448000,0.17,-2,-5,-3,-5,-5,-5,5,1,4,4,2,3,410000,314.159265358979,22000000,59000000,411000,0.15,-4,-1,-5,-1,-3,-1,3,5,3,4,4,2,15,522000,-3,-5,4,3,415800,425700,23806168.5197876,19140981.4798858,51498716.2034875,47743843.1282567,0.799999999998396,360000,360000,318400,0.142500701316923,0.142499677511704,1,1,1,1,298.472211637063,358.141892926714
1050000000,639000000,627000000,400000,314.159265358979,27000000,49000000,437000,0.15,-5,-1,-5,-1,-2,-5,4,5,4,4,5,3,415000,314.159265358979,30000000,46000000,437000,0.15,-4,-2,-1,-5,-3,-4,2,5,4,3,1,2,7,514000,-2,-2,2,1,415800,425700,19308937.5708332,16384071.2103284,51717612.2462406,49332955.7322123,0.800000772105568,360000,360000,318400,0.142506331891087,0.142502710496287,1,1,1,1,298.624455696024,358.378256812204
1197000000,526000000,637000000,407000,314.159265358979,28000000,43000000,412000,0.13,-2,-2,-3,-1,-2,-3,2,4,4,5,2,4,410000,314.159265358979,10000000,54000000,432000,0.12,-1,-4,-4,-2,-4,-2,3,5,3,1,3,5,12,521000,-5,-4,5,5,415800,425700,20088401.241738,16097938.0241986,49959919.6763611,51969600.7896561,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,299.015558528257,360.870821286415
820000000,518000000,600000000,406000,314.159265358979,19000000,40000000,413000,0.17,-3,-2,-4,-2,-1,-5,3,3,3,4,1,2,399000,314.159265358979,15000000,47000000,426000,0.18,-4,-2,-4,-3,-3,-5,4,2,2,2,3,3,11,549000,-3,-3,3,4,415800,425700,23360176.209709,16059261.0206572,51848679.1928101,47715026.4172773,0.79999951011398,360000,360000,318400,0.142499853657827,0.142500000001919,1,1,1,1,298.470382818627,358.453532068127
933000000,620000000,609000000,415000,314.159265358979,26000000,53000000,430000,0.17,-5,-4,-2,-4,-3,-2,1,3,4,4,4,2,387000,314.159265358979,25000000,50000000,442000,0.17,-3,-2,-1,-4,-5,-4,4,3,3,3,3,4,8,524000,-3,-5,1,3,415800,425700,23950001.1393316,16401138.8817017,52282697.6775286,48268754.4337736,0.800144003738116,360000,360000,318400,0.142503607860796,0.142524300567003,1,1,1,1,299.096468120599,358.712272869202
959000000,642000000,595000000,399000,314.159265358979,20000000,53000000,438000,0.14,-2,-2,-1,-4,-5,-2,2,4,5,4,5,2,384000,314.159265358979,11000000,55000000,423000,0.18,-4,-5,-3,-1,-3,-5,4,2,1,5,4,4,11,549000,-4,-5,5,1,415800,425700,21864774.7242194,17300446.1305337,49453027.0956701,48034347.1590091,0.799999957009427,360000,360000,318400,0.142503941763555,0.142511079829744,1,1,1,1,299.579791332054,358.697793418075
888000000,619000000,514000000,418000,314.159265358979,27000000,58000000,427000,0.16,-5,-2,-5,-1,-1,-5,3,5,2,2,2,5,410000,314.159265358979,30000000,55000000,443000,0.13,-3,-5,-3,-4,-5,-5,1,1,1,4,2,1,11,577000,-5,-5,1,5,415800,425700,23833842.7536441,16253707.5101372,50829471.5943767,47624017.9342431,0.8,360000,360000,318400,0.142561962486832,0.142499999999742,1,1,1,1,298.982833145805,359.79024388775
974000000,686000000,633000000,400000,314.159265358979,16000000,60000000,422000,0.14,-1,-3,-5,-5,-2,-5,4,3,3,5,4,5,395000,314.159265358979,22000000,47000000,415000,0.17,-3,-1,-1,-2,-3,-1,2,1,5,1,3,2,6,522000,-3,-4,5,3,415800,425700,21614588.5779005,22395036.8603379,49634103.1537251,48487124.7380239,0.8,360000,360000,318400,0.1425,0.142609505885734,1,1,1,1,300.572941527321,358.575757773726
